Unarmed (FinesseWeapons) Mutation #0:

Tier chances: 1, 1, 1, 1, 1, 1, 1, 1

    - Chance 100%:
        Damage = 6

Unarmed (FinesseWeapons) Mutation #1 (232 samples):

Tier chances: 1, 0, 0, 0, 0, 0, 0, 0

    - Chance 3%:
        Damage += 1

    - Chance 7%:
        Damage += 2

    - Chance 10%:
        Damage += 3

    - Chance 30%:
        Damage += 4

    - Chance 15%:
        Damage += 5

    - Chance 15%:
        Damage += 6

    - Chance 10%:
        Damage += 7

    - Chance 7%:
        Damage += 9

    - Chance 3%:
        Damage += 11

Unarmed (FinesseWeapons) Mutation #2 (465 samples):

Tier chances: 0, 1, 0, 0, 0, 0, 0, 0

    - Chance 2%:
        Damage += 1

    - Chance 4%:
        Damage += 2

    - Chance 6%:
        Damage += 3

    - Chance 15%:
        Damage += 4

    - Chance 10%:
        Damage += 5

    - Chance 8%:
        Damage += 6

    - Chance 5%:
        Damage += 7

    - Chance 5%:
        Damage += 9
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 5%:
        Damage += 11
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 15%:
        Damage += 12
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 10%:
        Damage += 13
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 7%:
        Damage += 14
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 3%:
        Damage += 15
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 3%:
        Damage += 16
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 2%:
        Damage += 17
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

Unarmed (FinesseWeapons) Mutation #3 (381 samples):

Tier chances: 0, 0, 1, 0, 0, 0, 0, 0

    - Chance 5%:
        Damage += 9
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 5%:
        Damage += 11
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 12%:
        Damage += 12
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 11%:
        Damage += 13
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 8%:
        Damage += 14
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 3%:
        Damage += 15
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 3%:
        Damage += 16
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 3%:
        Damage += 17
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 22%:
        Damage += 18
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 14%:
        Damage += 19
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 9%:
        Damage += 20
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 5%:
        Damage += 21
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

Unarmed (FinesseWeapons) Mutation #4 (882 samples):

Tier chances: 0, 0, 0, 1, 0, 0, 0, 0

    - Chance 20%:
        Damage += 18
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 15%:
