DaggerMS (LightWeapons) Mutation #0:

Tier chances: 1, 1, 1, 1, 1, 1, 1, 1

    - Chance 100%:
        Damage = 1

DaggerMS (LightWeapons) Mutation #1 (99 samples):

Tier chances: 1, 0, 0, 0, 0, 0, 0, 0

    - Chance 30%:
        Damage += 1

    - Chance 10%:
        Damage += 2

    - Chance 10%:
        Damage += 3

    - Chance 30%:
        Damage += 4

    - Chance 15%:
        Damage += 5

    - Chance 5%:
        Damage += 6

DaggerMS (LightWeapons) Mutation #2 (191 samples):

Tier chances: 0, 1, 0, 0, 0, 0, 0, 0

    - Chance 15%:
        Damage += 1

    - Chance 5%:
        Damage += 2

    - Chance 5%:
        Damage += 3

    - Chance 15%:
        Damage += 4

    - Chance 15%:
        Damage += 5
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 5%:
        Damage += 6
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 5%:
        Damage += 7
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 10%:
        Damage += 8
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 15%:
        Damage += 9
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 10%:
        Damage += 10
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

DaggerMS (LightWeapons) Mutation #3 (216 samples):

Tier chances: 0, 0, 1, 0, 0, 0, 0, 0

    - Chance 5%:
        Damage += 5
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 5%:
        Damage += 6
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 5%:
        Damage += 7
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 10%:
        Damage += 8
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 15%:
        Damage += 9
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 30%:
        Damage += 10
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 20%:
        Damage += 11
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 10%:
        Damage += 12
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

DaggerMS (LightWeapons) Mutation #4 (412 samples):

Tier chances: 0, 0, 0, 1, 0, 0, 0, 0

    - Chance 20%:
        Damage += 10
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 25%:
        Damage += 11
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 5%:
        Damage += 12
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 20%:
        Damage += 13
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 20%:
        Damage += 14
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 10%:
        Damage += 15
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

DaggerMS (LightWeapons) Mutation #5 (357 samples):

Tier chances: 0, 0, 0, 0, 1, 0, 0, 0

    - Chance 20%:
        Damage += 13
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 20%:
        Damage += 14
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 10%:
        Damage += 15
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 15%:
        Damage += 16
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

    - Chance 35%:
        Damage += 17
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

DaggerMS (LightWeapons) Mutation #6 (991 samples):

Tier chances: 0, 0, 0, 0, 0, 1, 0, 0

    - Chance 15%:
        Damage += 16
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

