DaggerMS (FinesseWeapons) Mutation #0:

Tier chances: 1, 1, 1, 1, 1, 1, 1, 1

    - Chance 100%:
        Damage = 1

DaggerMS (FinesseWeapons) Mutation #1 (232 samples):

Tier chances: 1, 0, 0, 0, 0, 0, 0, 0

    - Chance 30%:
        Damage += 1

    - Chance 10%:
        Damage += 2

    - Chance 10%:
        Damage += 3

    - Chance 30%:
        Damage += 4

    - Chance 15%:
        Damage += 5

    - Chance 5%:
        Damage += 6

DaggerMS (FinesseWeapons) Mutation #2 (438 samples):

Tier chances: 0, 1, 0, 0, 0, 0, 0, 0

    - Chance 15%:
        Damage += 1

    - Chance 5%:
        Damage += 2

    - Chance 5%:
        Damage += 3

    - Chance 15%:
        Damage += 4

    - Chance 15%:
        Damage += 5
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 5%:
        Damage += 6
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 5%:
        Damage += 7
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 10%:
        Damage += 8
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 15%:
        Damage += 9
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 10%:
        Damage += 10
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

DaggerMS (FinesseWeapons) Mutation #3 (378 samples):

Tier chances: 0, 0, 1, 0, 0, 0, 0, 0

    - Chance 5%:
        Damage += 5
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 5%:
        Damage += 6
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 5%:
        Damage += 7
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 10%:
        Damage += 8
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 15%:
        Damage += 9
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 30%:
        Damage += 10
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 20%:
        Damage += 11
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 10%:
        Damage += 12
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

DaggerMS (FinesseWeapons) Mutation #4 (790 samples):

Tier chances: 0, 0, 0, 1, 0, 0, 0, 0

    - Chance 20%:
        Damage += 10
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 25%:
        Damage += 11
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 5%:
        Damage += 12
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 20%:
        Damage += 13
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 20%:
        Damage += 14
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 10%:
        Damage += 15
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

DaggerMS (FinesseWeapons) Mutation #5 (648 samples):

Tier chances: 0, 0, 0, 0, 1, 0, 0, 0

    - Chance 20%:
        Damage += 13
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 20%:
        Damage += 14
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 10%:
        Damage += 15
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 15%:
        Damage += 16
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

    - Chance 35%:
        Damage += 17
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

DaggerMS (FinesseWeapons) Mutation #6 (1,981 samples):

Tier chances: 0, 0, 0, 0, 0, 1, 0, 0

    - Chance 15%:
        Damage += 16
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
