Spear (HeavyWeapons) Mutation #0:

Tier chances: 1, 1, 1, 1, 1, 1, 1, 1

    - Chance: 100%:
	    Damage = 10

Spear (HeavyWeapons) Mutation #1 (307 samples):

Tier chances: 1, 0, 0, 0, 0, 0, 0, 0

    - Chance: 3%:
        Damage += 1

    - Chance: 7%:
        Damage += 2

    - Chance: 10%:
        Damage += 3

    - Chance: 30%:
        Damage += 5

    - Chance: 15%:
        Damage += 7

    - Chance: 15%:
        Damage += 9

    - Chance: 10%:
        Damage += 11

    - Chance: 7%:
        Damage += 13

    - Chance: 3%:
        Damage += 15

Spear (HeavyWeapons) Mutation #2 (609 samples):

Tier chances: 0, 1, 0, 0, 0, 0, 0, 0

    - Chance: 2%:
        Damage += 1

    - Chance: 3%:
        Damage += 2

    - Chance: 5%:
        Damage += 3

    - Chance: 15%:
        Damage += 5

    - Chance: 8%:
        Damage += 7

    - Chance: 7%:
        Damage += 9

    - Chance: 5%:
        Damage += 11

    - Chance: 3%:
        Damage += 13

    - Chance: 2%:
        Damage += 15

    - Chance: 5%:
        Damage += 14
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 5%:
        Damage += 16
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 5%:
        Damage += 18
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 10%:
        Damage += 20
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 10%:
        Damage += 22
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 6%:
        Damage += 23
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 4%:
        Damage += 24
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 3%:
        Damage += 25
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 2%:
        Damage += 26
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

Spear (HeavyWeapons) Mutation #3 (596 samples):

Tier chances: 0, 0, 1, 0, 0, 0, 0, 0

    - Chance: 2%:
        Damage += 14
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 3%:
        Damage += 16
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 5%:
        Damage += 18
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 10%:
        Damage += 20
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 10%:
        Damage += 22
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 10%:
        Damage += 23
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 5%:
        Damage += 24
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 3%:
        Damage += 25
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 2%:
        Damage += 26
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance: 20%:
        Damage += 27
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance: 15%:
        Damage += 28
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance: 5%:
        Damage += 29
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance: 5%:
        Damage += 30
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance: 5%:
        Damage += 31
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

Spear (HeavyWeapons) Mutation #4 (1,211 samples):

Tier chances: 0, 0, 0, 1, 0, 0, 0, 0

    - Chance: 20%:
        Damage += 27
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance: 15%:
        Damage += 28
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance: 5%:
        Damage += 29
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance: 5%:
        Damage += 30
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance: 5%:
        Damage += 31
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance: 20%:
        Damage += 32
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance: 10%:
        Damage += 33
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance: 5%:
        Damage += 34
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance: 5%:
        Damage += 35
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance: 5%:
        Damage += 36
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance: 5%:
        Damage += 37
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

Spear (HeavyWeapons) Mutation #5 (1,070 samples):

Tier chances: 0, 0, 0, 0, 1, 0, 0, 0

    - Chance: 15%:
        Damage += 32
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance: 10%:
        Damage += 33
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance: 10%:
        Damage += 34
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance: 5%:
        Damage += 35
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance: 5%:
        Damage += 36
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance: 5%:
        Damage += 37
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance: 15%:
        Damage += 38
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

    - Chance: 15%:
        Damage += 39
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

    - Chance: 10%:
        Damage += 40
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

    - Chance: 10%:
        Damage += 41
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

Spear (HeavyWeapons) Mutation #6 (2,950 samples):

Tier chances: 0, 0, 0, 0, 0, 1, 0, 0

    - Chance: 15%:
        Damage += 38
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

    - Chance: 15%:
        Damage += 39
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

    - Chance: 15%:
        Damage += 40
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

    - Chance: 5%:
        Damage += 41
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

    - Chance: 5%:
        Damage += 42
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 370

    - Chance: 5%:
        Damage += 43
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 370

    - Chance: 5%:
        Damage += 44
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 370

    - Chance: 7.5%:
        Damage += 45
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 370

    - Chance: 7.5%:
        Damage += 46
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 370

