Axe (TwoHandedCombat) Mutation #0:

Tier chances: 1, 1, 1, 1, 1, 1, 1, 1

    - Chance 100%:
        Damage = 4

Axe (TwoHandedCombat) Mutation #1 (61 samples):

Tier chances: 1, 0, 0, 0, 0, 0, 0, 0

    - Chance 3%:
        Damage += 1

    - Chance 7%:
        Damage += 2

    - Chance 10%:
        Damage += 3

    - Chance 30%:
        Damage += 4

    - Chance 15%:
        Damage += 5

    - Chance 15%:
        Damage += 6

    - Chance 10%:
        Damage += 7

    - Chance 7%:
        Damage += 8

    - Chance 3%:
        Damage += 9

Axe (TwoHandedCombat) Mutation #2 (104 samples):

Tier chances: 0, 1, 0, 0, 0, 0, 0, 0

    - Chance 2%:
        Damage += 1

    - Chance 4%:
        Damage += 2

    - Chance 7%:
        Damage += 3

    - Chance 15%:
        Damage += 4

    - Chance 7%:
        Damage += 5

    - Chance 7%:
        Damage += 6

    - Chance 5%:
        Damage += 7

    - Chance 3%:
        Damage += 8

    - Chance 4%:
        Damage += 9
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 5%:
        Damage += 10
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 15%:
        Damage += 11
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 10%:
        Damage += 12
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 8%:
        Damage += 13
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 4%:
        Damage += 14
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 2%:
        Damage += 15
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 2%:
        Damage += 16
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

Axe (TwoHandedCombat) Mutation #3 (98 samples):

Tier chances: 0, 0, 1, 0, 0, 0, 0, 0

    - Chance 4%:
        Damage += 9
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 5%:
        Damage += 10
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 10%:
        Damage += 11
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 15%:
        Damage += 12
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 8%:
        Damage += 13
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 4%:
        Damage += 15
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 4%:
        Damage += 16
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 250

    - Chance 25%:
        Damage += 17
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 20%:
        Damage += 18
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 5%:
        Damage += 19
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

Axe (TwoHandedCombat) Mutation #4 (190 samples):

Tier chances: 0, 0, 0, 1, 0, 0, 0, 0

    - Chance 20%:
        Damage += 17
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 25%:
        Damage += 18
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 5%:
        Damage += 19
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 300

    - Chance 20%:
        Damage += 20
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 15%:
        Damage += 21
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 10%:
        Damage += 22
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 5%:
        Damage += 23
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

Axe (TwoHandedCombat) Mutation #5 (190 samples):

Tier chances: 0, 0, 0, 0, 1, 0, 0, 0

    - Chance 20%:
        Damage += 20
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 10%:
        Damage += 21
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 15%:
        Damage += 22
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 5%:
        Damage += 23
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 325

    - Chance 15%:
        Damage += 24
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

    - Chance 25%:
        Damage += 25
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

    - Chance 10%:
        Damage += 26
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

Axe (TwoHandedCombat) Mutation #6 (511 samples):

Tier chances: 0, 0, 0, 0, 0, 1, 0, 0

    - Chance 15%:
        Damage += 24
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

    - Chance 20%:
        Damage += 25
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

    - Chance 15%:
        Damage += 26
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 350

    - Chance 5%:
        Damage += 27
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 370

    - Chance 10%:
        Damage += 28
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 370

    - Chance 15%:
        Damage += 29
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 370

    - Chance 10%:
        Damage += 30
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 400

    - Chance 5%:
        Damage += 31
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 400

    - Chance 3%:
        Damage += 32
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 400

    - Chance 2%:
        Damage += 33
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 400

Axe (TwoHandedCombat) Mutation #7 (119 samples):

Tier chances: 0, 0, 0, 0, 0, 0, 1, 0

    - Chance 10%:
        Damage += 30
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 400

    - Chance 25%:
        Damage += 31
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 400

    - Chance 15%:
        Damage += 32
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 400

    - Chance 15%:
        Damage += 33
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 400

    - Chance 10%:
        Damage += 34
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 400

    - Chance 12.5%:
        Damage += 35
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 420

    - Chance 7.5%:
        Damage += 36
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 420

    - Chance 5%:
        Damage += 37
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 420

Axe (TwoHandedCombat) Mutation #8 (207 samples):

Tier chances: 0, 0, 0, 0, 0, 0, 0, 1

    - Chance 2%:
        Damage += 30
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 400

    - Chance 2%:
        Damage += 31
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 400

    - Chance 3%:
        Damage += 32
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 400

    - Chance 3%:
        Damage += 33
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 400

    - Chance 25%:
        Damage += 34
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 420

    - Chance 25%:
        Damage += 35
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 420

    - Chance 10%:
        Damage += 36
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 420

    - Chance 10%:
        Damage += 37
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 420

    - Chance 6%:
        Damage += 38
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 430

    - Chance 5%:
        Damage += 39
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 430

    - Chance 5%:
        Damage += 40
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 430

    - Chance 4%:
        Damage += 41
        WieldRequirements = RawSkill
        WieldSkillType = WeaponSkill
        WieldDifficulty = 430

Axe (TwoHandedCombat) Mutation #9:

Tier chances: 1, 1, 1, 1, 1, 1, 1, 1

    - Chance: 5%:
        DamageVariance = 0.3

    - Chance: 15%:
        DamageVariance = 0.35

    - Chance: 30%:
        DamageVariance = 0.4

    - Chance: 30%:
        DamageVariance = 0.45

    - Chance: 15%:
        DamageVariance = 0.5

    - Chance: 5%:
        DamageVariance = 0.55
